freq_ref
0-0-CE
0-0-CE AC
0-0-CE DC
0-0-CE-N
0-0-DE
0-C0-0
0-CE-0
0-CO-0
0-CO-0 AC
0-CO-0 DC
0-CO-0-N
0-CO-CE
0-CO-CE AC
0-CO-CE DC
0-CO-CE-N
0-CO-O
0:30
1
1-0-1
10:00
10:30
10ADMIN
11:00
11:30
12:00
12:30
13:00
13:30
14:00
14:30
15:00
15:30
16:00
16:30
17:00
17:30
18:00
18:30
19:00
19:30
1:00
1:30
1Y3H DC
20:00
20:30
21:00
21:30
22 H
"22,7H"
22:00
22:30
23:00
23:30
24:00
2500 ML
2:00
2:30
3500 ML
3:00
3:30
4500 ML
4:00
4:30
5:00
5:30
5ADMIN
6:00
6:30
7:00
7:30
7ADMIN
8:00
8:30
9:00
9:30
9ADMIN
C/1 MES
C/10 DIAS
C/10DIAS
C/12 MESES
C/12 SEMAN
C/12DA-D11
C/12DA-D12
C/12DA-J11
C/12DA-J12
C/12DA-L11
C/12DA-L12
C/12DA-M11
C/12DA-M12
C/12DA-S11
C/12DA-S12
C/12DA-V11
C/12DA-V12
C/12DA-X11
C/12DA-X12
C/12DOYLU
C/12H
C/12H ALT
C/12H AM
C/12H I
C/12H INH
C/12H N
C/12H NEB
C/12H SYD
C/12H V
C/12H(21H)
"C/12H11,23"
"C/12H12,24"
"C/12H6,18"
"C/12H7,19"
"C/12H9,21"
C/12HDOM
C/12HJUYDO
C/12HJUYSA
"C/12HL,M,V"
C/12HLUYJU
"C/12HM,J,S"
C/12HMAYVI
C/12HMIYVI
C/14 DIAS
C/18H
C/18H V
C/2 MESES
C/2 SEMANA
C/21 DIAS
C/24
C/24 DIAS
C/24 MESES
C/24H
C/24H -D
C/24H AM
C/24H I
C/24H N
C/24H NNT
C/24H V
C/24H(10H)
C/24H(12H)
C/24H(13H)
C/24H(16H)
C/24H(18H)
C/24H(19H)
C/24H(20H)
C/24H(21)
C/24H(21H)
C/24H(9H)
C/24H-J
C/24H-J-D
C/24H-JUYS
C/24H-JYV
C/24H-MAYS
C/24H-MAYV
"C/24H-MI,D"
C/24H-MI-J
C/24H-MYS
C/24H-N
C/24H-SYD
C/24H-SYDV
C/24H-VYD
C/24HNNT
C/24HNP
C/24HNPT
C/28 DIAS
C/28DIASAM
C/2H
C/2H V
C/3 MESES
C/3 SEMANA
C/36H V
C/36H(17H)
C/3H
C/3H NNT
C/3H V
C/3H(12H)
C/3H(7H)
C/4 MESES
C/4 SEMANA
C/48H
C/48H AM
C/48H V
C/48H(12)
C/48H(9H)
C/4H
C/4H NEB
C/4H V
C/4H-N
C/5 DIAS
C/5 SEMANA
C/5H
C/6 MESES
C/6 SEMANA
C/6H
C/6H ALT
C/6H I
C/6H INH
C/6H NEB
C/6H NNT
C/6H V
C/6H(6:00)
C/6HNNT
C/72H
C/72H V
C/8 SEMANA
C/8H
C/8H ALT
C/8H I
C/8H INH
C/8H MMF
C/8H NEB
C/8H V
C/8H/ALT
C/8HALT
C/9 MESES
C/96H
C/96H V
C/DO(13H)
C/DO(8H)
C/DO(9H)
C/DOM V
C/DOMINGO
C/H
C/HORA
C/JU(13H)
C/JU(8H)
C/JU(9H)
C/JUE V
C/JUEVES
C/LU(13H)
C/LU(8H)
C/LU(9H)
C/LUN V
C/LUNES
C/MA(13H)
C/MA(8H)
C/MA(9H)
C/MAR V
C/MARTES
C/MES
C/MI(13H)
C/MI(8H)
C/MI(9H)
C/MIE V
C/MIERC(18
C/MIERCOLE
C/SA(13H)
C/SA(8H)
C/SA(9H)
C/SAB V
C/SABADO
C/SEM(9H)
C/SEMANA
C/VI(13H)
C/VI(8H)
C/VI(9H)
C/VIE V
C/VIERNES
C12H
CONTINUA
CONTINUO
DE
DE-0-
DE-0-0
DE-0-0 AC
DE-0-0 AM
DE-0-0 DC
DE-0-0-N
DE-0-C0
DE-0-CE
DE-0-CE AC
DE-0-CE DC
DE-0-CE-N
DE-C0-C-E
DE-C0-CE
DE-CE
DE-CO-
DE-CO-0
DE-CO-0 AC
DE-CO-0 DC
DE-CO-0-N
DE-CO-CE
DE-CO-CE A
DE-CO-CE D
DE-CO-CE-N
DE-CO-CO
DE-O-CE
DECO-0
FR_INDIV
"L,MI,V,S V"
L-X-V NNT
"LU,JU"
"LU,JU V"
"LU,MI,VI"
"LU,MI,VI V"
"LU,MI,VI,S"
"LU,MI,VI18"
MA Y JU
"MA,JU"
"MA,JU V"
"MA,JU,SA"
"MA,JU,SA18"
"MA,MI,VI,S"
"MA,VI"
"MA,VI V"
MI Y SA
"MI,SA V"
S/8H
S/P
S/PROTOCOL
SA Y DO
SC/8H
Sin frecue
SP
UNICA
UNICO
