encounter_type
2O
AD
BO
CA
CE
CU
DH
DI
DU
EI
ET
FP
HD
IC
IH
IQ
JD
LE
LT
MA
MO
NE
PA
PD
PE
PF
PP
PR
PV
RE
SM
TE
TR
TV
UC
UD
VD
VE
VI
VS
VU
