micro_ref,micro_descr
MICPSEUCIT,Pseudomonas citronellonis
MICPSEUCOM,Pseudomonas composti
MICPSEUDOP," Pseudoarthrobacter polychromogenes
"
MICPSEUFLU,Pseudomonas fluorescens
MICPSEUFRA,Pseudomonas fragi
MICPSEUFUL,Pseudomonas fulva
MICPSEUGUA,Pseudomonas guariconensis
MICPSEUKOR,Pseudomonas koreensis
MICPSEULIB,Pseudomonas libanensis
MICPSEULUT,Pseudomonas luteola
MICPSEUMEN,Pseudomonas mendocina
MICPSEUMO,Pseudomonas monteilii
MICPSEUMOS,Pseudomonas mosselii
MICPSEUNIT,Pseudomonas nitroreducens
MICPSEUOLA,Pseudomonas oleovorans
MICPSEUORY,Pseudomonas oryzihabitans
MICPSEUPLE,Pseudomonas plecoglossicida
MICPSEUSP,Pseudomonas sp
MICPSEUSTU,Pseudomonas stutzeri
MICPSTU,Providencia stuartii
MICPSYCPHE,Psychrobacter phenylpyruvicus
MICPSYCSAN,Psychrobacter sanguinis
MICPVUL,Proteus vulgaris
MICPYRESP,Pyrenochaeta sp
MICRALSPIC,Ralstonia pickettii
MICRALSSP,Ralstonia spp
MICRAOUORN,Raoultella ornithinolytica
MICRAOUPLA,Raoultella planticola
MICRAOUTER,Raoultella terrigena
MICRDEN,Rothia dentocariosa
MICREQU," Rhodococcus equi
"
MICRHIMUCO," Rhizomucor sp
"
MICRHIZARR,Rhizopus arrhizus
MICRHIZMIC,Rhizopus microsporus
MICRHIZORA,Rhizobium radiobacter
MICRHIZORY," Rhizopus oryzae
"
MICRHIZPUS,Rhizomucor pusillus
MICRHIZSP,Rhizopus sp.
MICRHODOSP," Rhodococcus sp
"
MICRHOR,Rhizopus oryzae
MICRHOTOMU,Rhodotorula mucilaginosa
MICRHOTORU,Rhodotorula rubra
MICRHOTOSP,Rhodotorula sp
MICRINOVIR,Rinovirus
MICROSAER,Roseomonas aerofrigidensis
MICROSMUC,Roseomonas mucosa
MICROSSPP," Roseomonas spp
"
MICROTMUC,Rothia mucilaginosa
MICROTTERR,Rothia terrae
MICRUMGNA," Ruminococcus gnavus
"
MICSACCCER,Saccharomyces cerevisiae
MICSACCKLU,Saccharomyces kluyverii
MICSACCSP,Saccharomyces sp
MICSAGA,Streptococcus agalactiae
MICSALM,Salmonella spp
MICSALMCHO,Salmonella cholerasuis
MICSALMDUB," Salmonella dublin
"
MICSALMENT,Salmonella enteritidis
MICSALMGR2,Salmonella grupo C2/C3
MICSALMGRB,Salmonella grupo B
MICSALMGRC," Salmonella grupo C1
"
MICSALMGRD,Salmonella grupo D
MICSALMPAB,Salmonella paratyphi B
MICSALMPAR,Salmonella paratyphi A
MICSALMSP,Salmonella sp
MICSARCOHO," Sarcocystis hominis
"
MICSAUR,Staphylococcus aureus
MICSBOV,Streptococcus bovis
MICSCEDOAP,Scedosporium apiospermum
MICSCEDOBO,Scedosporium boydii
MICSCEDOSP,Scedosporium spp
MICSCHHAE,Schistosoma haematobium
MICSCHINT," Schistosoma intercalatum
"
MICSCHMAN,Schistosoma mansoni
MICSCHSP,Schistosoma sp
MICSCHTURI," Schaalia turicensis
"
MICSCOPBRE,Scopulariopsis brevicaulis
MICSCOPSP,Scopulariopsis sp
MICSCYTDI," Scytalidium dimidiatum
"
MICSERRFIC,Serratia ficaria
MICSERRFON,Serratia fonticola
MICSERRODO,Serratia odorifera
MICSERRRUB," Serratia rubidaea
"
MICSERRSP,Serratia sp
MICSERRURE,Serratia ureilytica
MICSFLE,Shigella flexneri
MICSHEWALG,Shewanella algae
MICSHIGSP,Shigella sp
MICSLIQ,Serratia liquefaciens
MICSMAL,Stenotrophomonas maltophilia
MICSMAR,Serratia marcescens
MICSOLMOO,Solobacterium moorei
MICSPGMONA,Sphingomonas aerolata
MICSPGMONK,Sphingomonas koreensis
MICSPGMONP,Sphingomonas paucimobilis
MICSPGMONS,Sphingomonas sp
MICSPHINBM,Sphingobacterium mizutaii
MICSPHINBS," Sphingobacterium spiritivorum
"
MICSPHINYA,Sphingobium yanoikuyae
MICSPNE,Streptococcus pneumoniae
MICSPOKOR,Sporosarcina koreensis
MICSPORXSK," Sporothrix schenckii
"
MICSPOSPP,Sporosarcina spp
MICSPUT,Shewanella putrefaciens
MICSPYO,Streptococcus pyogenes
MICSSAP,Staphylococcus saprophyticus
MICSSON,Shigella sonnei
MICSTACAPR,Staphylococcus caprae
MICSTACOND,Staphylococcus condimenti
MICSTAPARC,Staphylococcus auricularis
MICSTAPAST,Staphylococcus pasteuri
MICSTAPBO," Staphylococcus borealis
"
MICSTAPCAP,Staphylococcus capitis
MICSTAPCOH," Staphylococcus cohnii-cohnii
"
MICSTAPCOI,Staphylococcus cohnii
MICSTAPCON,Staphylococcus coagulasa negativo
MICSTAPCOP,Staphylococcus coagulasa positiva
MICSTAPCOU,Staphylococcus cohnii-urealitycum
MICSTAPCRO," Staphylococcus chromogenes
"
MICSTAPEPI,Staphylococcus epidermidis
MICSTAPETR,Staphylococcus petrasii
MICSTAPHAE,Staphylococcus haemolyticus
MICSTAPHOH,Staphylococcus hominis hominis
MICSTAPHOM,Staphylococcus hominis
MICSTAPINT,Staphylococcus intermedius
MICSTAPLUG,Staphylococcus lugdunensis
MICSTAPPET,Staphylococcus pettenkoferi
MICSTAPPSE,Staphylococcus pseudointermedius
MICSTAPSAC,Staphylococcus saccharolyticus
MICSTAPSCH,Staphylococcus schleiferi
MICSTAPSCI," Staphylococcus sciuri
"
MICSTAPSIM,Staphylococcus simulans
MICSTAPSP,Staphylococcus sp
MICSTAPWAR,Staphylococcus warneri
MICSTAPXYL,Staphylococcus xylosus
MICSTMYSP,Streptomyces sp
MICSTNTROA,Stenotrophomonas acidaminiphila
MICSTNTROM,Rothia mucilaginosa
MICSTNTRON,Stenotrophomonas nitritireducens
MICSTNTROS,Stenotrophomonas sp.
MICSTPH,Salmonella typhimurium
MICSTROSTE,Strongyloides stercoralis
MICSTRPAHE," Estreptococ Alfa Hemolitic
"
MICSTRPANG,Streptococcus anginosus
MICSTRPCON,Streptococcus constellatus
MICSTRPCRS,Sterptococcus cristatus
MICSTRPDYD," Streptococcus dysgalactiae-dysgalactiae
"
MICSTRPDYE,Streptococcus dysgalactiae-equisimilis
MICSTRPDYS,Streptococcus dysgalactiae
MICSTRPEQI,Streptococcus equinus
MICSTRPEQU," Streptococcus equi
"
MICSTRPGAG," S. gallolyticus ssp gallolyticus
"
MICSTRPGAL,Streptococcus gallolyticus
MICSTRPGAP,S. gallolyticus ssp pasteurianus
MICSTRPGOR,Streptococcus gordonii
MICSTRPGRA," Streptococcus A-hemolitico grupo A
"
MICSTRPGRC," Streptococcus A-hemolitico Grupo C
"
MICSTRPGRF," Streptococcus A-hemolitico Grupo F
"
MICSTRPGRG," Streptococcus A-hemolitico Grupo G
"
MICSTRPGVI,Streptococcus grupo viridans
MICSTRPINT,Streptococcus intermedius
MICSTRPLUT,Streptococcus lutetiensis
MICSTRPMIT,Streptococcus mitis
MICSTRPMIY,Streptococcus grupo mitis
MICSTRPMLY,Streptococcus grupo milleri
MICSTRPMUT,Streptococcus mutans
MICSTRPORA,Streptococcus oralis
MICSTRPPAR,Streptococcus parasanguis
MICSTRPPEO,Streptococcus peroris
MICSTRPPSE,Streptococcus pseudopneumoniae
MICSTRPSAL,Streptococcus salivarius
MICSTRPSAN,Streptococcus sanguis
MICSTRPSP,Streptococcus sp
MICSTRPURI,Streptococcus urinalis
MICSTRPVES,Streptococcus vestibularis
MICSTRPZOO," Streptococcus zooepidemicus
"
MICSTYP,Salmonella typhi
MICSYNRAC,Syncephalastrum racemosum
MICTAENSAG,Taenia saginata
MICTAENSP,Taenia sp
MICTPEN,Tunga penetrans
MICTRCHOHO,Trichomonas hominis
MICTRCHOVA,Trichomonas vaginalis
MICTREPPAL," Treponema pallidum
"
MICTRICHMT,Trichophyton mentagrophytes
MICTRICHRU,Trichophyton rubrum
MICTRICHSO,Trichophyton soudanense
MICTRICHSP,Trichophyton sp
MICTRICHTO,Trichophyton tonsurans
MICTRICHTR," Trichuris trichiura
"
MICTRICHVI,Trichophyton violaceum
MICTRIDERS,Trichoderma sp
MICTRIN,Trichophyton interdigitale
MICTRIPOAS,Trichosporon asahii
MICTRIPOIN,Trichosporon inkin
MICTRIPOMU," Trichosporon mucoides
"
MICTRIPOSP,Trichosporon sp
MICTROPHWH,Tropheryma whipplei
MICTRUBER,Trueperella bernardiae
MICTRYPBRR," Trypanosoma brucei rhodesiense
"
MICTRYPBRU," Trypanosoma brucei
"
MICTRYPCRU," Trypanosoma cruzi
"
MICTURIOTI,Turicella otitidis
MICUREAPAR,Ureaplasma parvum
MICUREAPSP,Ureaplasma sp
MICUREAPUR,Ureaplasma urealyticum
MICVEB," Virus dEpstein Barr
"
MICVEILLAT,Veillonella atypica
MICVEILLDI,Veillonella dispar
MICVEILLPA,Veillonella parvula
MICVEILLSP,Veillonella sp
MICVERGAL,Verruconis gallopava
MICVGA,Virus Grip A
MICVGB,Virus Grip B
MICVHS1,Virus Herpes Simple 1
MICVHS2,Virus Herpes Simple 2
MICVIBRALG,Vibrio alginolyticus
MICVIBRCHL," Vibrio cholerae
"
MICVIBRFLU,Vibrio fluvialis
MICVIBRPAR," Vibrio parahaemolyticus
"
MICVIBRSP,Vibrio sp
MICVPI2," Virus Parainfluenza 2
"
MICVPI3,Virus Parainfluenza 3
MICVRS,Virus Respiratori Sincitial
MICWEEKVIR," Weeksella virosa
"
MICWEICON," Weissella confusa
"
MICWEISVIR,Weissella viridescens
MICWOHLCHI,Wohlfahrtiimonas chitiniclastica
MICYERSENT," Yersinia enterocolitica
"
MICYERSPES,Yersinia pestis
MICZIGO," Zigomiceto
"
MYCMASS," Mycobacterium massiliense
"
NV,No valorable
