micro_ref,micro_descr
MICBG(N)AN,Bacilo Gram negativo anaerobio
MICBG(P)AE,Bacilo Gram positivo aerobio
MICBG(P)AN,Bacilo Gram positivo anaerobio
MICBGN,Bacils Gram negatius
MICBGNEN," BGN tipus enterobacteria
"
MICBGNNF,BGN no fermentador de la glucosa.
MICBGP,Bacil gram positiu
MICBGPD," Bacil gram positiu difteroid
"
MICBGPDA,BGP difteroid aerobi
MICBGPDN,BGP difteroid anaerobi
MICBGPL," BGP tipus listeria
"
MICBGV," Bacil Gram Variable
"
MICBIFIDOA," Bifidobacterium adolescentis
"
MICBIFIDOB,Bifidobacterium bifidum
MICBIFIDOC," Bifidobacterium catenulatum
"
MICBIFIDOD,Bifidobacterium dentium
MICBIFIDOL,Bifidobacterium longum
MICBIFIDOR,Bifidobacterium breve
MICBIFIDOS,Bifidobacterium sp
MICBIPO,Bipolaris spp
MICBLASTHO,Blastocystis hominis
MICBLF," Bacilo Fermentador de Lactosa
"
MICBMCAT,Moraxella catarrhalis
MICBNLF,Bacilo No Fermentador de Lactosa
MICBORDETB,Bordetella bronchiseptica
MICBORDETS,Bordetella sp
MICBORREDU,Borrelia duttonii
MICBRACCON,Brachybacterium conglomeratum
MICBRACMUR,Brachybacterium muris
MICBREVAU," Brevundimonas aurantiaca
"
MICBREVIBC,Brevibacterium casei
MICBREVIBR,Brevibacterium ravenspurgense
MICBREVIBS,Brevibacterium sp
MICBREVICE,Brevibacterium celere
MICBREVLUT,Brevibacterium luteolum
MICBREVUND,Brevundimonas diminuta (= Pseudomonas di
MICBREVUNV,Brevundimonas vesicularis (= PS vesicula
MICBRVBACB,Brevibacillus brevis
MICBRVBACS,Brevibacillus sp
MICBRVBPAR,Brevibacillus parabrevis
MICBURK,Burkholderia sp
MICBURKCEC,Burkholderia cepacea complex
MICBURKCEN,Burkholderia cenocepacia
MICBURKCEP,Burkholderia cepacia
MICBURKGLA,Burkolderia gladioli
MICBURKMUL," Burkholderia multivorans
"
MICCALB,Candida albicans
MICCAMPYCL,Campylobacter coli
MICCAMPYCO," Campylobacter concisus
"
MICCAMPYFE,Campylobacter fetus
MICCAMPYHY," Campylobacter hyointestinalis
"
MICCAMPYLA," Campylobacter lari
"
MICCAMPYRE," Campylobacter rectus
"
MICCAMPYSP,Campylobacter sp
MICCANDAUR,Candida auris
MICCANDBOI,Candida boidini
MICCANDBRA,Candida bracarensis
MICCANDCAT,Candida catenulata
MICCANDCIF," Candida ciferrii
"
MICCANDCOL,Candida colliculosa
MICCANDDUB,Candida dubliniensis
MICCANDFAM,Candida famata
MICCANDGUI,Candida guilliermondii
MICCANDICO,Candida inconspicua
MICCANDINT," Candida intermedia
"
MICCANDKEF,Candida kefyr
MICCANDLIP,Candida lipolytica
MICCANDLUS,Candida lusitaniae
MICCANDMAG,Candida magnoliae
MICCANDMET,Candida metapsilosis
MICCANDNIV,Candida nivariensis
MICCANDNOR,Candida norvegensis
MICCANDORT,Candida orthopsilosis
MICCANDPAR," Candida pararugosa
"
MICCANDRUG," Candida rugosa
"
MICCANDSP,Candida spp
MICCANDUTI,Candida utilis
MICCAPNOGI,Capnocytophaga gingivalis
MICCAPNOOC,Capnocytophaga ochracea
MICCAPNOSP," Capnocytophaga sp
"
MICCAPNOSS,Capnocytophaga sputigena
MICCBGP,Cocobacils Grampositius
MICCCAN,Capnocytophaga canimorsus
